r (Ã…),g_CH3CH3
3.052019306713471, 0.04817631337508499
3.1456182536200084, 0.06006956799234153
3.226453707766564, 0.08518560772268557
3.264744186046512, 0.11044668714348416
3.2902711715664763, 0.13597367266344906
3.319444869303579, 0.16317206794960226
3.342743308468626, 0.18791399736726655
3.359761298815269, 0.21432733655111913
3.376779289161912, 0.24162702939885916
3.393797279508556, 0.2685721807810446
3.410815269855199, 0.2955173321632296
3.427833260201842, 0.32370337867485754
3.4434330846862657, 0.3508258007898202
3.4625783238262393, 0.37887889425186505
3.4795963141728823, 0.4119842035980694
3.4992142752669295, 0.4470247184437619
3.512720616811884, 0.480132138155833
3.5332502559602164, 0.5130876115255232
3.546756597505171, 0.5460768507490756
3.564686265906099, 0.5771118911803423
3.581704256252742, 0.6102172005265467
3.5987222465993858, 0.6435884159719176
3.6157402369460288, 0.6761619131197893
3.629212812637122, 0.7110399297937693
3.646230802983765, 0.7422395787626153
3.663248793330408, 0.7743255813953489
3.6802667836770517, 0.8060570425625275
3.6972847740236947, 0.8379657744624835
3.7143027643703377, 0.8695199648968845
3.7348661693725314, 0.9031127687582273
3.7511750767880647, 0.9349328652917945
3.775283896445809, 0.9507099605089951
3.8178288723124174, 1.0494244342756849
3.8433558578323828, 1.0795604588478656
3.8652361311352097, 1.1078224785306836
3.88164633611233, 1.1336533567354103
3.8944098288723126, 1.1551385695480474
3.915074531436093, 1.1801489375039176
3.9284458095655985, 1.2074688898639754
3.958227292672224, 1.2337670030715224
3.9837542781921895, 1.254640631856077
4.077353225098728, 1.3401294427380428
4.110781420422491, 1.3697779727950854
4.134079859587538, 1.3945958753839403
4.187970162351909, 1.4200342255375162
4.25178762615182, 1.442864163480223
4.315605089951733, 1.4676314172882843
4.396440544098288, 1.4899675296182533
4.4730215006581835, 1.5113919638939382
4.549602457218078, 1.532609198611831
4.630437911364633, 1.5160263273365508
4.6900008775778845, 1.4889039052215882
4.741054848617814, 1.4633769197016233
4.796363317244405, 1.439217451263085
4.8729442738043, 1.4155138218516892
4.966543220710838, 1.3994627627747416
5.055887670030715, 1.3804142167617375
5.13246862659061, 1.3567485739359366
5.1962860903905215, 1.3311836018303767
5.247340061430451, 1.3070241333918384
5.277121544537077, 1.281896007020623
5.311157525230364, 1.2565019745502413
5.366465993856955, 1.2326671187522438
5.460064940763492, 1.212458255215605
5.536645897323387, 1.1992941766438912
5.685553312856515, 1.144156647652479
5.719589293549802, 1.118496709082931
5.756816147433084, 1.095495831505046
5.808933742869679, 1.070261342694164
5.872751206669592, 1.045053444493199
5.945077665642826, 1.0269870243841281
6.000386134269416, 1.001763931548925
6.047185607722685, 0.9764496709082932
6.089730583589293, 0.9532626590609916
6.132275559455901, 0.9294374725756911
6.172267836770513, 0.8998687143483984
6.208856516015796, 0.8826379991224221
6.2854374725756905, 0.815173823105372
6.362018429135586, 0.7858481790258887
6.455617376042123, 0.7889423590889146
6.549216322948661, 0.7998686824364754
6.642815269855199, 0.8073140532131318
6.736414216761737, 0.797741433643145
6.830013163668275, 0.788168814073158
6.923612110574814, 0.8028661693725319
7.017211057481351, 0.8217213291315968
7.110810004387888, 0.8339046631297619
7.204408951294427, 0.8419301926682357
7.298007898200964, 0.8497623359527704
7.391606845107503, 0.8568209342215486
7.485205792014041, 0.8662001675375962
7.578804738920578, 0.8799305915672744
7.668149188240456, 0.8938060552874068
7.9361825362000875, 0.9638602257768558
8.029781483106625, 0.9805881367425905
8.123380430013164, 0.9981862858510511
8.191452391399736, 1.0153783238262395
8.382904782799473, 1.0693040807371652
8.493521720052653, 1.0740903905221588
8.616902150065817, 1.0759275599345806
8.697737604212373, 1.0917731461167177
8.778573058358928, 1.1145081175954366
8.872172005265467, 1.1335566636084407
8.965770952172004, 1.1364574574175275
9.059369899078542, 1.125724520323906
9.15296884598508, 1.1060958155490845
9.246567792891618, 1.100197534803941
9.340166739798157, 1.1141213450875582
9.433765686704694, 1.1211799433563363
9.527364633611231, 1.1053222705333279
9.61670908293111, 1.0789830627468189
9.6720175515577, 1.0655813953488371
