r (Ã…),g_HH
0.063023082,0.015386953
0.156551522,0.015967983
0.250079962,0.01558478
0.343608401,0.01558478
0.437136841,0.016068972
0.530665281,0.015677468
0.62419372,0.015164225
0.71772216,0.015764623
0.8112506,0.015778457
0.904779039,0.015294265
1.000736789,0.016989925
1.091835919,0.014819757
1.185364358,0.015197426
1.278892798,0.015290114
1.372421238,0.014989915
1.465949677,0.015357901
1.548141337,0.041975548
1.550975532,0.102338146
1.552864995,0.069671328
1.555226824,0.146012262
1.555226824,0.122577371
1.559478117,0.23655616
1.561367581,0.203889342
1.562312312,0.169447153
1.56372941,0.280230275
1.56372941,0.256795384
1.567980703,0.370774173
1.569870166,0.338107355
1.570814898,0.303665166
1.572231995,0.414448288
1.572231995,0.391013397
1.576483288,0.504992186
1.578372751,0.472325368
1.579317483,0.43788318
1.580734581,0.548666302
1.580734581,0.52523141
1.584985873,0.639210199
1.586875337,0.606543381
1.587820069,0.572101193
1.589237166,0.682884315
1.589237166,0.659449424
1.593488459,0.773428213
1.595377922,0.740761395
1.596322654,0.706319206
1.597739752,0.817102328
1.597739752,0.793667437
1.601991044,0.907646226
1.603880508,0.874979408
1.604825239,0.840537219
1.606242337,0.951320341
1.606242337,0.92788545
1.61049363,1.041864239
1.612383093,1.009197421
1.613327825,0.974755233
1.614744922,1.085538355
1.614744922,1.062103463
1.618996215,1.108121068
1.620885679,1.139627977
1.623247508,1.221354201
1.623247508,1.19791931
1.623247508,1.174484419
1.627498801,1.244256481
1.629388264,1.276686583
1.631750093,1.358767882
1.631750093,1.335332991
1.631750093,1.311898099
1.637890849,1.415165486
1.638835581,1.379539717
1.640252679,1.497779395
1.640252679,1.474344504
1.640252679,1.450909613
1.644503971,1.544649178
1.647338167,1.518551231
1.648755264,1.732128308
1.912335412,1.708693416
1.912335412,1.685258525
1.912335412,1.661823634
1.912335412,1.638388743
1.912335412,1.614953851
1.912335412,1.59151896
1.912335412,1.568084069
1.912335412,1.544649178
1.912335412,1.521214287
1.91375251,1.353264233
1.916586705,1.49607504
1.916586705,1.472640149
1.916586705,1.449205257
1.916586705,1.425770366
1.916586705,1.402335475
1.916586705,1.378900584
1.920837998,1.331604712
1.920837998,1.308169821
1.920837998,1.28473493
1.920837998,1.261300039
1.920837998,1.237865148
1.920837998,1.214430256
1.920837998,1.190995365
1.920837998,1.167560474
1.920837998,1.144125583
1.922255095,0.974222621
1.92508929,1.11728198
1.92508929,1.093847089
1.92508929,1.070412198
1.92508929,1.046977306
1.92508929,1.023542415
1.92508929,1.000107524
1.929340583,0.951852953
1.929340583,0.928418061
1.929340583,0.90498317
1.929340583,0.881548279
1.929340583,0.858113388
1.929340583,0.834678497
1.929340583,0.811243605
1.929340583,0.787808714
1.929340583,0.764373823
1.929340583,0.740938932
1.930757681,0.57529686
1.933591876,0.717184474
1.933591876,0.693749583
1.933591876,0.670314691
1.933591876,0.6468798
1.933591876,0.623444909
1.933591876,0.600010018
1.937843169,0.551329357
1.937843169,0.527894466
1.937843169,0.504459575
1.937843169,0.481024684
1.937843169,0.457589793
1.937843169,0.434154901
1.937843169,0.41072001
1.937843169,0.387285119
1.937843169,0.363850228
1.939260266,0.196077711
1.942094461,0.338391414
1.942094461,0.314956523
1.942094461,0.291521632
1.942094461,0.26808674
1.942094461,0.244651849
1.942094461,0.221216958
1.946345754,0.171577598
1.946345754,0.148142706
1.954954955,0.098194131
1.963963964,0.007900677
2.009009009,0.062076749
2.036036036,0.113995485
2.071423261,0.137160771
2.080792886,0.17853071
2.157660009,0.207751295
2.182056317,0.246305245
2.233004348,0.274626445
2.264484159,0.299638457
2.290133625,0.323719752
2.302037244,0.3498248
2.330894504,0.379185279
2.352537449,0.403660491
2.375726318,0.438096224
2.412925129,0.463981127
2.477757343,0.484656124
2.571285783,0.474260522
2.664814223,0.46205567
2.758342662,0.454551936
2.868876273,0.476248937
3.033259591,0.526651707
3.127045685,0.552899523
3.294005544,0.64527943
3.358025011,0.671560882
3.438549496,0.690383311
3.49706729,0.730793957
3.579125575,0.745831853
3.582562037,0.781106373
3.667174571,0.797134341
3.693095647,0.835592601
3.777152457,0.848967693
3.784888143,0.883552081
3.865568231,0.906630319
3.934736089,0.935520812
3.997830671,0.958826214
4.087985069,0.976823117
4.178699558,0.997847477
4.273928514,1.01810306
4.368165503,1.031965609
4.461992279,1.043946718
4.55427765,1.058994405
4.649223188,1.074495268
4.732966906,1.093485171
4.828297084,1.099517791
4.921825524,1.114172123
5.019676111,1.125661729
5.110426294,1.140934454
5.201013989,1.150864704
5.269156138,1.175375655
5.360133802,1.183182121
5.453662242,1.190869475
5.559094301,1.190149274
5.666226878,1.17737297
5.759046769,1.162829111
5.847397352,1.141674661
5.929807026,1.121209534
5.953897685,1.103444235
6.037506441,1.089053588
6.125366491,1.068653735
6.303920785,1.03038889
6.399149741,1.016285461
6.495701323,1.000063562
6.589229762,0.987395307
6.678034543,0.977817632
6.766097035,0.971578829
6.861821198,0.968462227
6.955218828,0.962855797
7.051014624,0.956042263
7.145676742,0.949018024
7.242606216,0.947889142
7.336134655,0.945535113
7.431930451,0.94086865
7.527726247,0.938278413
7.621254687,0.938459783
7.71413531,0.940561656
7.797946509,0.94234228
7.896333569,0.949619005
7.987432699,0.955632914
8.076993265,0.964025288
8.167201648,0.973223462
8.26255207,0.97775573
8.363140692,0.983287103
8.455074897,0.988583189
8.547388682,0.993061477
8.648744899,1.004723863
8.742273338,1.012440713
8.83455871,1.017239138
8.930652842,1.026211389
9.024181282,1.030842288
9.117061906,1.036119647
9.20918882,1.040330007
9.300373598,1.045245897
9.390359294,1.048016659
9.483887734,1.046782185
9.577416174,1.046194529
9.670944613,1.044643347
9.764473053,1.04464719
9.866504078,1.043192309
9.94727864,1.046782016
