r (Ã…),g_OO
2.452295256,0.013694983
2.480664385,0.02751584
2.49484895,0.094619742
2.50690583,0.127898913
2.519671938,0.166633685
2.528537291,0.201549536
2.532083432,0.286656923
2.535274959,0.322991231
2.539530328,0.359652875
2.540948785,0.389767797
2.553360278,0.483058586
2.555133349,0.510518449
2.55867949,0.546161713
2.562225631,0.58616946
2.576410196,0.773114746
2.576410196,0.747655271
2.576410196,0.721468383
2.576410196,0.695281495
2.576410196,0.660365643
2.576410196,0.90041212
2.579956337,0.846947223
2.582320431,0.874225232
2.588568394,0.927534255
2.597687043,1.11863619
2.597687043,1.092449302
2.597687043,1.066262414
2.597687043,1.042257766
2.597687043,0.967334168
2.601233184,1.147005319
2.608325466,1.259390715
2.608325466,1.235931628
2.609845241,1.295085938
2.61896389,1.450336777
2.61896389,1.426332129
2.61896389,1.33686026
2.622510031,1.528897442
2.622510031,1.502710554
2.624637715,1.472595632
2.631966407,1.608549228
2.638467666,1.798404168
2.640240736,1.720934624
2.640240736,1.694747735
2.640240736,1.668560847
2.640240736,1.643101372
2.643786878,1.826773298
2.645306652,1.860598028
2.65087916,1.900060214
2.655843757,1.999388537
2.660099127,2.035177284
2.661517583,2.091915543
2.661517583,2.065728654
2.665063724,2.231578947
2.665063724,2.205392059
2.665063724,2.181387411
2.668609865,2.257765836
2.672156007,2.282316044
2.680768064,2.364072133
2.68279443,2.425070956
2.68279443,2.398884068
2.687860346,2.461649467
2.699005361,2.555485817
2.704071277,2.66657226
2.704071277,2.640385372
2.704071277,2.614198483
2.704071277,2.588011595
2.718255841,2.74484196
2.721801983,2.816419455
2.721801983,2.790232567
2.721801983,2.764045678
2.730263158,2.83805668
2.743421053,2.870445344
2.763157895,2.910931174
2.769736842,2.939271255
2.782894737,2.882591093
2.789473684,2.846153846
2.799107859,2.810745629
2.802631579,2.829959514
2.805727323,2.782958431
2.810455511,2.755316715
2.821093934,2.719309744
2.824640076,2.690576908
2.828186217,2.661480365
2.831732358,2.632383823
2.83882464,2.609834002
2.844143852,2.523453641
2.849463063,2.502176794
2.851433142,2.435012275
2.853009205,2.475989906
2.867193769,2.336762949
2.876945657,2.265130898
2.877832193,2.30359289
2.883151404,2.233215628
2.889889072,2.152145386
2.892903292,2.095188904
2.895562898,2.129741048
2.907974392,2.042596903
2.909747463,2.071547963
2.914475651,1.95988998
2.919676658,1.931302627
2.925350484,1.898859982
2.93102431,1.861689149
2.946627331,1.771562608
2.953719613,1.731409379
2.955847298,1.693547503
2.957029345,1.668924554
2.973578003,1.590000182
2.97499646,1.557266571
2.983507198,1.530206786
2.99485485,1.49070823
3.012585556,1.39741744
3.016131697,1.370321284
3.017550153,1.339915397
3.027952167,1.308127424
3.030316262,1.290305792
3.055139249,1.21083586
3.060103847,1.177556689
3.069323814,1.14809644
3.075234049,1.123728085
3.08705452,1.103796954
3.121502748,1.017629621
3.136700496,0.99206623
3.153721973,0.964133549
3.172161907,0.934018627
3.201949493,0.899102776
3.239538589,0.871315578
3.282092282,0.850947998
3.324645976,0.836399726
3.36719967,0.828398177
3.409753363,0.832398952
3.452307057,0.841491621
3.494860751,0.84840205
3.537414444,0.858222133
3.579968138,0.870588164
3.622521831,0.881499368
3.665075525,0.889500917
3.707629219,0.902958068
3.750182912,0.922961941
3.792736606,0.940783573
3.824651876,0.946239175
3.920397687,0.986974335
3.962951381,1.001158899
4.005505074,1.015707171
4.048058768,1.028800615
4.087066321,1.037893284
4.21118126,1.070626895
4.253734954,1.078628444
4.296288648,1.084084046
4.338842341,1.085538873
4.381396035,1.08590258
4.423949729,1.085538873
4.466503422,1.087357407
4.509057116,1.084811459
4.55161081,1.079719565
4.594164503,1.072809136
4.636718197,1.065898707
4.67927189,1.059351985
4.721825584,1.051350435
4.764379278,1.041530352
4.806932971,1.030982856
4.849486665,1.022981306
4.892040359,1.01352493
4.923955629,1.008069328
5.048070569,0.979700199
5.090624262,0.97169865
5.133177956,0.963333394
5.17573165,0.956786672
5.214739202,0.950167208
5.338854142,0.933873144
5.381407836,0.928417543
5.423961529,0.9207797
5.466515223,0.920052287
5.509068917,0.91968858
5.544530328,0.917870046
5.610488553,0.910886876
5.650914562,0.913869271
5.693468256,0.917870046
5.736021949,0.920052287
5.778575643,0.920415993
5.817583196,0.927471905
5.849498466,0.933145731
5.913329006,0.943329521
5.9558827,0.946602882
5.998436394,0.954604431
6.040990087,0.961151153
6.083543781,0.97060753
6.211204862,0.997158125
6.253758556,1.003159287
6.296312249,1.009524155
6.338865943,1.016434584
6.381419637,1.022981306
6.406242624,1.0226176
6.516173,1.037165871
6.558726693,1.037893284
6.601280387,1.040439232
6.643834081,1.044440007
6.686387774,1.048440781
6.82823342,1.050623022
6.870787114,1.050986729
6.913340807,1.050986729
6.955894501,1.045531127
6.998448194,1.040439232
7.126109275,1.034256217
7.168662969,1.025527254
7.211216663,1.0226176
7.253770356,1.018253118
7.292777909,1.016943774
